product_id,title,rating,initial_price,discount,final_price,seller_name,category,discount_amount,total_amount
18903330,Levis,4.4,3299,20.0,1649.0,Lev███tra███ In█████████td,jeans,1650.0,1649.0
18973740,Levis,4.3,4099,57.0,4099.0,Vis███ St███,jeans,0.0,4099.0
18969982,Allen Solly Junior,4.2,1799,35.0,1169.0,Wes███ry ███din█████████d_M██████,jeans,630.0,1169.0
18734066,Flying Machine,4.1,2699,61.0,1052.0,ARV███ LI███TYL█████████LIM██████,jeans,1647.0,1052.0
18993370,Blackberrys,4.3,3295,40.0,1647.0,Fla███tar███mme██████,jeans,1648.0,1647.0
15067844,Flying Machine,4.1,2399,50.0,1199.0,Ret███Net███,jeans,1200.0,1199.0
18960434,Lee,4.4,3999,55.0,1999.0,PRA███RET███,jeans,2000.0,1999.0
18973952,Levis,4.1,3499,48.0,3499.0,Vis███ St███,jeans,0.0,3499.0
18689340,Flying Machine,4.3,2349,42.0,1362.0,ARV███ LI███TYL█████████LIM██████,jeans,987.0,1362.0
18973790,Levis,4.3,5599,50.0,2799.0,Lev███tra███ In█████████td,jeans,2800.0,2799.0
21184968,HERE&NOW,4.6,2399,68.0,767.0,Omn███ch ███ail███,jeans,1632.0,767.0
18903148,Levis,4.3,3899,20.0,2027.0,Lev███tra███ In█████████td,jeans,1872.0,2027.0
18734006,Flying Machine,4.3,2499,50.0,1249.0,Ret███Net███,jeans,1250.0,1249.0
18928362,AMERICAN EAGLE OUTFITTERS,4.1,4499,60.0,1799.0,Wes███ry ███din█████████d_M██████,jeans,2700.0,1799.0
18964420,American Bull,4.5,4299,62.0,1633.0,Bra███For███es,jeans,2666.0,1633.0
18973914,Levis,4.4,3799,60.0,2089.0,Lev███tra███ In█████████td,jeans,1710.0,2089.0
15049188,Roadster,4.5,2099,60.0,692.0,Tru███t C███erc███,jumpsuit,1407.0,692.0
17656880,Vishudh,4.4,1499,43.0,1499.0,Unknown,kurtas,0.0,1499.0
16186258,Vishudh,4.2,1799,79.0,377.0,Fla███tar███mme██████,kurtas,1422.0,377.0
22110424,VASTRADO,5.0,1199,55.0,539.0,CRE███VE ███MEN█████████E L█████████,kurtas,660.0,539.0
18637234,House of Pataudi,4.2,2499,0.0,2499.0,Unknown,kurtas,0.0,2499.0
13562488,KSUT,4.3,1599,57.0,1599.0,Unknown,kurtas,0.0,1599.0
17644540,Libas,4.2,2499,64.0,899.0,ZIV███ AP███EL █████████IMI██████,kurtas,1600.0,899.0
13506804,Ishin,4.1,5199,54.0,5199.0,Unknown,kurtas,0.0,5199.0
18637284,House of Pataudi,4.1,3999,0.0,3999.0,Unknown,kurtas,0.0,3999.0
19574714,Cayman,4.3,5995,50.0,5995.0,Unknown,kurtas,0.0,5995.0
19580226,DEVOILER,4.7,2499,55.0,2499.0,Unknown,kurtas,0.0,2499.0
12524816,HERE&NOW,4.1,1199,0.0,1199.0,Unknown,kurtas,0.0,1199.0
12531668,INDYA,4.4,2900,55.0,2900.0,Unknown,kurtas,0.0,2900.0
19688180,KALINI,4.1,1499,47.0,1499.0,Unknown,kurtas,0.0,1499.0
19027402,Jompers,4.5,3499,75.0,874.0,IND███ NE███E P█████████MIT███,kurta-sets,2625.0,874.0
18925432,Indo Era,4.7,5399,74.0,1403.0,ZEN███R B███D T█████████ PR███████████████,kurta-sets,3996.0,1403.0
